,state,value,level,age,type
424,District of Columbia,0.29612987389476736,100137,o65,private
425,Florida,0.30667878540805515,100137,o65,private
426,Georgia,0.35952779931470874,100137,o65,private
427,Hawaii,0.43033788641265275,100137,o65,private
428,Idaho,0.3781057069718416,100137,o65,private
429,Illinois,0.36042103919111956,100137,o65,private
430,Indiana,0.3751823666259217,100137,o65,private
431,Iowa,0.4602567267341397,100137,o65,private
432,Kansas,0.49867008176534333,100137,o65,private
433,Kentucky,0.39331574318381707,100137,o65,private
434,Louisiana,0.36901525198938995,100137,o65,private
435,Maine,0.40223067173637517,100137,o65,private
436,Maryland,0.443575003825053,100137,o65,private
437,Massachusetts,0.3771566597653554,100137,o65,private
438,Michigan,0.446679239240664,100137,o65,private
439,Minnesota,0.5118764845605701,100137,o65,private
440,Mississippi,0.3301582143509962,100137,o65,private
441,Missouri,0.3605432348479376,100137,o65,private
442,Montana,0.48771201107649703,100137,o65,private
443,Nebraska,0.3859456060367867,100137,o65,private
444,Nevada,0.3176742282507016,100137,o65,private
445,New Hampshire,0.48832820799552695,100137,o65,private
446,New Jersey,0.3532278683285395,100137,o65,private
447,New Mexico,0.29176706198954844,100137,o65,private
448,New York,0.3127619526789364,100137,o65,private
449,North Carolina,0.3906363842905604,100137,o65,private
450,North Dakota,0.5187111689062274,100137,o65,private
451,Ohio,0.3811559546967868,100137,o65,private
452,Oklahoma,0.35805347279104444,100137,o65,private
453,Oregon,0.34909737627170506,100137,o65,private
454,Pennsylvania,0.44389029023915194,100137,o65,private
455,Rhode Island,0.4360672440142639,100137,o65,private
456,South Carolina,0.3998771593090211,100137,o65,private
457,South Dakota,0.4079330101366241,100137,o65,private
458,Tennessee,0.3955161309921623,100137,o65,private
459,Texas,0.29064547639692245,100137,o65,private
460,Utah,0.39825174825174825,100137,o65,private
461,Vermont,0.45264329437952144,100137,o65,private
462,Virginia,0.42238538180615115,100137,o65,private
463,Washington,0.40273800591090764,100137,o65,private
464,West Virginia,0.3610278990868733,100137,o65,private
465,Wisconsin,0.4158901636480112,100137,o65,private
466,Wyoming,0.5798333060957673,100137,o65,private
467,Puerto Rico,0.20020540739132614,100137,o65,private
468,Alabama,0.2738320587567199,138149,u19,private
469,Alaska,0.1397129186602871,138149,u19,private
470,Arizona,0.26830866568749295,138149,u19,private
471,Arkansas,0.21760714876716863,138149,u19,private
472,California,0.27798054306948233,138149,u19,private
473,Colorado,0.25000972951936173,138149,u19,private
474,Connecticut,0.2980041789754305,138149,u19,private
475,Delaware,0.16624525916561314,138149,u19,private
476,District of Columbia,0.0,138149,u19,private
477,Florida,0.3090681768037067,138149,u19,private
478,Georgia,0.25470177324019344,138149,u19,private
479,Hawaii,0.3916394208313872,138149,u19,private
480,Idaho,0.32132620652258115,138149,u19,private
481,Illinois,0.34769332646604373,138149,u19,private
482,Indiana,0.2981431457010051,138149,u19,private
483,Iowa,0.31844111531694835,138149,u19,private
484,Kansas,0.3951875268553189,138149,u19,private
485,Kentucky,0.2789069647189849,138149,u19,private
486,Louisiana,0.20586961230236084,138149,u19,private
487,Maine,0.30467320804922665,138149,u19,private
488,Maryland,0.2679911233224136,138149,u19,private
489,Massachusetts,0.24041270663067194,138149,u19,private
490,Michigan,0.3683259432778382,138149,u19,private
491,Minnesota,0.37113228226962314,138149,u19,private
492,Mississippi,0.3609725292074518,138149,u19,private
493,Missouri,0.2906648546937069,138149,u19,private
494,Montana,0.2866263440860215,138149,u19,private
495,Nebraska,0.262015503875969,138149,u19,private
496,Nevada,0.3732169827152207,138149,u19,private
497,New Hampshire,0.42751126424595814,138149,u19,private
498,New Jersey,0.16827211799466718,138149,u19,private
499,New Mexico,0.09314112690889942,138149,u19,private
500,New York,0.33856756434225704,138149,u19,private
501,North Carolina,0.2805634414046254,138149,u19,private
502,North Dakota,0.6053921568627451,138149,u19,private
503,Ohio,0.3350694688832895,138149,u19,private
504,Oklahoma,0.2596728307254623,138149,u19,private
505,Oregon,0.3147968739908287,138149,u19,private
506,Pennsylvania,0.2805540888902693,138149,u19,private
507,Rhode Island,0.6591372549019607,138149,u19,private
508,South Carolina,0.25852694018783984,138149,u19,private
509,South Dakota,0.5572916666666666,138149,u19,private
510,Tennessee,0.230559646539028,138149,u19,private
511,Texas,0.277998017839445,138149,u19,private
512,Utah,0.5738076416337285,138149,u19,private
513,Vermont,0.30098360655737705,138149,u19,private
514,Virginia,0.32609075806592636,138149,u19,private
515,Washington,0.26681823162046675,138149,u19,private
516,West Virginia,0.3537974683544304,138149,u19,private
517,Wisconsin,0.296890144277367,138149,u19,private
518,Wyoming,0.3277972027972028,138149,u19,private
519,Puerto Rico,0.5075449416087128,138149,u19,private
520,Alabama,0.5567693015625312,138149,1964,private
521,Alaska,0.2793048412839156,138149,1964,private
522,Arizona,0.3718816002938566,138149,1964,private
523,Arkansas,0.44022227211495285,138149,1964,private
524,California,0.3563194664511384,138149,1964,private
