variable,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico
total_100137_o65_private,"69,762","6,654","80,456","45,926","384,695","48,048","30,221","9,595","6,899","299,261","119,949","13,910","19,923","125,309","76,083","32,408","30,453","68,220","60,320","19,725","45,751","66,654","112,414","49,678","49,237","69,215","14,445","19,083","34,208","14,308","75,096","31,957","222,607","127,643","6,921","130,057","47,613","52,292","156,595","11,778","65,125","11,345","82,295","273,333","17,160","8,985","78,587","65,303","27,707","68,684","6,119","119,762"
with_100137_o65_private,"26,256","1,952","28,135","16,929","97,487","17,325","11,274","4,323","2,043","91,777","43,125","5,986","7,533","45,164","28,545","14,916","15,186","26,832","22,259","7,934","20,294","25,139","50,213","25,429","16,256","24,955","7,045","7,365","10,867","6,987","26,526","9,324","69,623","49,862","3,590","49,572","17,048","18,255","69,511","5,136","26,042","4,628","32,549","79,443","6,834","4,067","33,194","26,300","10,003","28,565","3,548","23,977"
no_100137_o65_private,"43,506","4,702","52,321","28,997","287,208","30,723","18,947","5,272","4,856","207,484","76,824","7,924","12,390","80,145","47,538","17,492","15,267","41,388","38,061","11,791","25,457","41,515","62,201","24,249","32,981","44,260","7,400","11,718","23,341","7,321","48,570","22,633","152,984","77,781","3,331","80,485","30,565","34,037","87,084","6,642","39,083","6,717","49,746","193,890","10,326","4,918","45,393","39,003","17,704","40,119","2,571","95,785"
total_138149_u19_private,"26,414","5,225","44,255","24,172","234,261","25,695","13,879","4,746",419,"135,970","81,884","4,282","12,909","54,364","41,091","18,757","16,291","25,141","27,702","6,013","28,389","27,041","59,765","23,722","15,835","38,264","5,952","11,610","23,836","3,773","41,629","15,192","100,556","55,303","2,448","71,039","28,120","15,483","64,394","6,375","36,414","6,528","40,740","209,872","18,975","3,050","45,748","36,508","7,900","36,111","4,576","15,242"
with_138149_u19_private,"7,233",730,"11,874","5,260","65,120","6,424","4,136",789,0,"42,024","20,856","1,677","4,148","18,902","12,251","5,973","6,438","7,012","5,703","1,832","7,608","6,501","22,013","8,804","5,716","11,122","1,706","3,042","8,896","1,613","7,005","1,415","34,045","15,516","1,482","23,803","7,302","4,874","18,066","4,202","9,414","3,638","9,393","58,344","10,888",918,"14,918","9,741","2,795","10,721","1,500","7,736"
no_138149_u19_private,"19,181","4,495","32,381","18,912","169,141","19,271","9,743","3,957",419,"93,946","61,028","2,605","8,761","35,462","28,840","12,784","9,853","18,129","21,999","4,181","20,781","20,540","37,752","14,918","10,119","27,142","4,246","8,568","14,940","2,160","34,624","13,777","66,511","39,787",966,"47,236","20,818","10,609","46,328","2,173","27,000","2,890","31,347","151,528","8,087","2,132","30,830","26,767","5,105","25,390","3,076","7,506"
total_138149_1964_private,"49,983","5,639","65,338","35,632","343,961","39,232","23,160","8,123","1,958","221,598","106,954","8,333","19,450","88,386","66,363","24,956","26,591","48,887","47,813","11,523","38,560","41,968","91,636","33,341","36,192","56,774","10,984","14,593","30,131","5,968","59,818","27,662","162,840","97,797","5,293","104,680","45,194","34,440","93,980","12,823","54,944","7,676","71,232","302,203","26,707","4,138","71,772","52,333","15,967","44,142","5,014","67,241"
with_138149_1964_private,"27,829","1,575","24,298","15,686","122,560","15,315","7,902","2,855",624,"118,331","52,144","4,702","9,489","39,649","32,210","11,810","14,801","20,100","19,030","4,995","13,166","14,127","38,924","13,421","18,414","27,278","3,928","7,472","13,135","3,449","21,181","8,301","61,828","44,196","3,986","39,532","21,535","15,573","43,234","4,668","28,717","4,079","29,371","134,652","16,132","1,894","32,142","20,247","8,615","20,003","2,484","31,779"
no_138149_1964_private,"22,154","4,064","41,040","19,946","221,401","23,917","15,258","5,268","1,334","103,267","54,810","3,631","9,961","48,737","34,153","13,146","11,790","28,787","28,783","6,528","25,394","27,841","52,712","19,920","17,778","29,496","7,056","7,121","16,996","2,519","38,637","19,361","101,012","53,601","1,307","65,148","23,659","18,867","50,746","8,155","26,227","3,597","41,861","167,551","10,575","2,244","39,630","32,086","7,352","24,139","2,530","35,462"
total_138149_o65_private,"21,012","2,174","28,555","15,399","102,457","13,111","8,943","2,850","1,314","113,685","34,825","4,071","6,914","39,630","27,313","9,588","10,829","16,078","21,042","7,183","18,317","24,687","37,218","18,053","13,830","21,966","5,452","6,946","10,052","5,405","26,820","8,649","66,452","41,478","2,031","43,820","13,592","17,648","56,911","3,800","20,968","3,035","26,385","79,041","7,690","2,531","25,449","21,503","9,914","21,479","2,200","29,983"
with_138149_o65_private,"8,385",656,"10,012","4,985","32,765","4,182","3,206","1,321",626,"36,107","12,229","2,266","3,508","16,413","13,210","4,458","5,683","6,699","7,313","2,796","8,895","10,247","19,688","9,541","4,872","7,781","2,671","3,987","2,930","2,096","9,705","3,627","25,708","16,886","1,231","18,755","5,633","6,994","27,989","1,214","7,315","2,088","10,041","27,484","2,448",987,"9,399","8,294","4,062","9,999","1,335","5,143"
no_138149_o65_private,"12,627","1,518","18,543","10,414","69,692","8,929","5,737","1,529",688,"77,578","22,596","1,805","3,406","23,217","14,103","5,130","5,146","9,379","13,729","4,387","9,422","14,440","17,530","8,512","8,958","14,185","2,781","2,959","7,122","3,309","17,115","5,022","40,744","24,592",800,"25,065","7,959","10,654","28,922","2,586","13,653",947,"16,344","51,557","5,242","1,544","16,050","13,209","5,852","11,480",865,"24,840"
total_150199_u19_private,"128,050","17,321","177,391","90,177","860,906","104,976","58,044","23,229","5,027","501,116","280,006","24,360","66,905","269,089","194,325","79,414","71,078","118,214","117,571","25,021","108,863","86,518","221,082","113,251","81,489","151,908","22,994","53,516","82,731","15,550","152,981","57,082","362,350","260,882","14,216","272,701","111,839","78,740","259,222","20,823","133,040","29,312","174,099","827,847","93,945","10,443","179,350","144,017","45,029","113,579","14,509","53,984"
with_150199_u19_private,"52,794","5,532","84,156","35,320","306,168","38,431","19,704","8,359","1,548","202,341","109,455","12,927","33,796","130,657","94,048","35,759","36,463","57,570","40,827","12,432","48,283","36,417","124,428","54,930","32,529","73,783","8,947","32,795","38,455","6,408","56,085","18,449","154,205","103,969","9,339","136,492","45,911","33,760","116,088","7,481","58,754","16,076","79,128","312,810","65,922","2,763","82,450","55,320","20,586","56,887","6,863","31,958"
