variable,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
no_618_male_employer,"222,417","35,944","303,264","151,919","1,649,833","201,500","121,213","37,207","19,330","951,503","509,847","49,920","77,535","431,505","260,478","106,815","106,253","186,374","235,828","42,444","216,462","188,924","321,542","172,452","161,646","230,677","45,481","72,117","122,916","35,757","306,164","113,946","740,853","474,104","20,747","409,514","208,643","138,367","438,170","30,636","236,602","34,024","294,637","1,517,766","118,784","20,099","311,357","278,247","64,908","169,787","21,394"
total_1925_male_employer,"232,787","27,293","348,495","138,570","1,752,920","264,241","163,223","40,739","32,012","887,181","496,895","46,708","89,565","556,877","328,101","161,759","146,618","203,087","189,204","56,037","251,912","330,355","456,164","254,253","136,152","275,075","51,191","96,903","127,627","58,683","382,893","95,170","850,680","477,035","39,794","516,409","194,089","180,389","570,825","50,378","221,632","42,000","315,984","1,449,605","196,704","31,480","362,976","325,409","80,109","271,790","24,716"
with_1925_male_employer,"137,674","14,930","193,648","76,213","913,360","161,752","95,844","23,375","16,165","442,557","280,611","29,793","54,574","346,043","205,156","104,914","91,316","120,568","95,657","34,611","154,538","210,453","294,047","168,903","75,395","175,516","28,887","59,097","74,807","39,543","235,916","43,941","477,912","267,790","28,646","330,924","102,339","107,481","369,656","33,335","130,714","26,993","190,550","749,472","131,552","18,799","225,785","201,557","49,225","184,372","14,743"
no_1925_male_employer,"95,113","12,363","154,847","62,357","839,560","102,489","67,379","17,364","15,847","444,624","216,284","16,915","34,991","210,834","122,945","56,845","55,302","82,519","93,547","21,426","97,374","119,902","162,117","85,350","60,757","99,559","22,304","37,806","52,820","19,140","146,977","51,229","372,768","209,245","11,148","185,485","91,750","72,908","201,169","17,043","90,918","15,007","125,434","700,133","65,152","12,681","137,191","123,852","30,884","87,418","9,973"
total_2634_male_employer,"268,163","46,511","457,273","171,475","2,539,193","419,094","202,578","54,644","59,103","1,226,743","640,094","74,283","115,313","749,340","394,536","179,923","162,926","259,047","247,173","74,390","337,227","434,347","594,509","332,588","137,976","354,684","65,098","113,493","201,807","81,372","528,345","120,734","1,208,679","605,177","52,682","685,312","230,326","268,445","736,793","68,303","281,527","50,317","423,370","1,906,911","230,508","34,287","482,664","526,974","89,285","335,465","33,365"
with_2634_male_employer,"169,330","25,854","282,193","97,281","1,521,446","277,951","129,561","34,452","45,043","660,097","371,157","51,437","69,792","513,557","261,835","126,103","111,759","161,683","128,871","45,350","220,430","298,149","387,894","241,983","83,076","240,283","36,462","80,499","119,648","57,402","335,851","61,596","732,257","365,432","38,882","446,457","131,550","168,872","497,504","43,759","171,484","32,567","263,250","1,113,576","159,470","20,666","318,596","364,840","53,715","239,138","19,283"
no_2634_male_employer,"98,833","20,657","175,080","74,194","1,017,747","141,143","73,017","20,192","14,060","566,646","268,937","22,846","45,521","235,783","132,701","53,820","51,167","97,364","118,302","29,040","116,797","136,198","206,615","90,605","54,900","114,401","28,636","32,994","82,159","23,970","192,494","59,138","476,422","239,745","13,800","238,855","98,776","99,573","239,289","24,544","110,043","17,750","160,120","793,335","71,038","13,621","164,068","162,134","35,570","96,327","14,082"
total_3544_male_employer,"305,391","52,779","459,200","191,081","2,726,704","439,987","226,719","60,797","54,496","1,405,416","684,732","88,531","126,853","822,741","427,783","202,754","186,201","272,501","287,804","85,629","400,084","455,585","600,912","391,949","177,269","389,003","75,485","128,389","220,879","91,221","613,563","133,778","1,255,776","655,571","52,942","718,735","254,453","299,017","812,315","71,027","326,159","58,793","446,714","2,123,764","235,508","40,352","563,020","568,766","102,229","369,911","41,244"
with_3544_male_employer,"201,933","32,832","299,128","120,693","1,723,610","300,588","156,533","40,355","45,043","801,502","429,934","65,345","83,751","589,714","296,955","146,803","134,004","178,195","176,362","55,558","276,246","327,864","407,228","289,942","107,980","275,180","46,688","92,606","138,100","68,552","425,024","74,435","800,008","414,276","40,711","498,511","155,089","205,710","582,364","47,554","201,381","39,913","288,783","1,321,960","167,458","26,394","393,400","413,888","65,650","275,339","27,671"
no_3544_male_employer,"103,458","19,947","160,072","70,388","1,003,094","139,399","70,186","20,442","9,453","603,914","254,798","23,186","43,102","233,027","130,828","55,951","52,197","94,306","111,442","30,071","123,838","127,721","193,684","102,007","69,289","113,823","28,797","35,783","82,779","22,669","188,539","59,343","455,768","241,295","12,231","220,224","99,364","93,307","229,951","23,473","124,778","18,880","157,931","801,804","68,050","13,958","169,620","154,878","36,579","94,572","13,573"
total_4554_male_employer,"292,027","42,240","419,093","171,974","2,391,052","360,055","213,886","53,993","35,196","1,337,727","663,766","80,693","113,381","764,907","404,705","182,956","162,610","270,522","249,907","81,682","368,796","409,952","583,910","338,146","166,931","349,511","63,240","110,815","199,287","83,274","583,990","117,083","1,149,506","646,866","40,057","688,505","224,991","261,821","748,223","60,128","301,874","49,974","418,320","1,826,466","193,135","38,749","509,745","470,218","107,939","345,751","32,188"
with_4554_male_employer,"196,815","27,034","273,800","106,356","1,509,689","255,469","146,110","40,275","26,648","775,156","447,859","60,168","74,308","550,752","294,808","138,570","116,653","180,528","148,012","55,913","269,618","307,020","412,744","257,078","104,802","250,031","41,890","80,426","133,713","65,072","417,737","63,253","746,203","429,654","31,015","492,898","140,273","176,289","544,290","41,422","204,947","35,514","282,910","1,153,238","138,084","26,713","355,109","335,271","72,882","265,309","23,215"
no_4554_male_employer,"95,212","15,206","145,293","65,618","881,363","104,586","67,776","13,718","8,548","562,571","215,907","20,525","39,073","214,155","109,897","44,386","45,957","89,994","101,895","25,769","99,178","102,932","171,166","81,068","62,129","99,480","21,350","30,389","65,574","18,202","166,253","53,830","403,303","217,212","9,042","195,607","84,718","85,532","203,933","18,706","96,927","14,460","135,410","673,228","55,051","12,036","154,636","134,947","35,057","80,442","8,973"
total_5564_male_employer,"303,609","44,005","421,089","180,336","2,291,167","329,257","244,215","65,962","30,456","1,438,758","633,811","86,548","108,968","768,008","409,267","194,900","166,548","277,436","263,392","99,471","386,669","454,402","648,212","361,773","168,805","378,256","69,407","114,454","195,486","105,367","603,880","121,527","1,244,634","651,012","43,965","733,532","223,543","246,752","838,891","72,932","329,945","56,360","430,752","1,612,817","153,663","44,893","527,189","453,383","113,556","395,468","34,206"
with_5564_male_employer,"182,291","24,638","258,435","94,625","1,369,118","205,511","163,190","43,135","17,166","785,886","389,055","59,313","69,149","515,764","273,197","129,870","110,431","163,767","149,407","59,021","264,512","315,833","416,395","247,964","98,056","240,980","39,940","78,153","124,435","71,500","424,059","65,760","775,140","400,254","28,877","482,814","125,798","151,163","567,474","48,305","194,292","35,785","265,750","988,479","106,790","27,882","351,122","299,379","67,126","268,254","20,510"
no_5564_male_employer,"121,318","19,367","162,654","85,711","922,049","123,746","81,025","22,827","13,290","652,872","244,756","27,235","39,819","252,244","136,070","65,030","56,117","113,669","113,985","40,450","122,157","138,569","231,817","113,809","70,749","137,276","29,467","36,301","71,051","33,867","179,821","55,767","469,494","250,758","15,088","250,718","97,745","95,589","271,417","24,627","135,653","20,575","165,002","624,338","46,873","17,011","176,067","154,004","46,430","127,214","13,696"
total_6574_male_employer,"253,428","33,512","374,026","146,319","1,702,484","274,897","183,270","61,214","22,047","1,225,435","466,502","79,088","100,705","598,741","325,254","167,223","145,894","224,076","220,517","89,802","282,510","347,902","544,378","293,615","141,849","310,607","68,138","95,467","157,406","84,409","441,160","116,015","959,421","518,884","38,358","610,150","185,926","230,961","703,532","57,165","283,607","51,129","343,145","1,176,445","122,249","41,576","403,100","379,204","105,737","331,001","35,006"
with_6574_male_employer,"89,015","15,270","98,714","34,739","555,965","72,370","66,984","23,471","9,166","298,127","146,599","40,766","21,796","200,238","93,476","39,065","39,001","65,800","67,731","23,672","143,152","142,248","217,399","81,506","30,652","83,206","13,627","25,423","45,461","29,229","190,540","37,624","394,837","145,181","10,636","187,006","52,694","61,397","224,609","20,701","87,710","11,762","93,018","341,803","38,930","13,595","146,317","123,732","40,009","82,468","8,930"
no_6574_male_employer,"164,413","18,242","275,312","111,580","1,146,519","202,527","116,286","37,743","12,881","927,308","319,903","38,322","78,909","398,503","231,778","128,158","106,893","158,276","152,786","66,130","139,358","205,654","326,979","212,109","111,197","227,401","54,511","70,044","111,945","55,180","250,620","78,391","564,584","373,703","27,722","423,144","133,232","169,564","478,923","36,464","195,897","39,367","250,127","834,642","83,319","27,981","256,783","255,472","65,728","248,533","26,076"
total_o75_male_employer,"152,120","16,262","282,405","94,007","1,102,739","155,791","119,683","36,867","14,150","966,911","269,431","57,833","59,210","361,668","190,642","97,750","86,574","130,398","123,165","53,752","176,862","214,849","322,222","171,942","79,931","188,932","40,715","57,501","102,074","47,379","273,991","75,013","610,274","315,546","22,555","355,542","112,448","144,691","430,724","34,594","174,386","25,946","205,194","681,989","71,744","24,409","256,263","226,917","67,289","188,324","18,676"
with_o75_male_employer,"52,729","8,110","68,768","18,806","326,258","43,258","40,958","18,280","6,569","231,588","79,354","29,776","12,416","108,185","52,677","20,679","18,059","39,019","37,292","14,701","86,167","80,796","152,385","40,128","15,082","48,189","9,275","10,876","23,010","15,625","101,389","24,582","231,389","92,281","4,328","110,661","30,588","36,681","131,629","10,239","53,467","4,051","52,340","185,008","20,347","7,553","87,171","66,573","27,323","41,401","5,001"
no_o75_male_employer,"99,391","8,152","213,637","75,201","776,481","112,533","78,725","18,587","7,581","735,323","190,077","28,057","46,794","253,483","137,965","77,071","68,515","91,379","85,873","39,051","90,695","134,053","169,837","131,814","64,849","140,743","31,440","46,625","79,064","31,754","172,602","50,431","378,885","223,265","18,227","244,881","81,860","108,010","299,095","24,355","120,919","21,895","152,854","496,981","51,397","16,856","169,092","160,344","39,966","146,923","13,675"
total_u6_female_employer,"175,216","24,590","231,330","106,566","1,221,474","177,144","105,376","32,647","21,925","657,760","368,469","46,173","64,586","395,603","234,934","108,641","102,323","152,366","159,687","36,662","206,594","198,223","316,230","191,688","98,134","202,228","32,794","68,620","103,870","36,907","305,355","61,979","608,233","348,298","28,609","387,218","144,232","117,683","393,175","30,937","174,460","31,138","242,115","1,123,204","137,249","15,924","277,522","245,442","50,075","179,941","20,061"
with_u6_female_employer,"76,416","9,188","122,883","42,377","639,721","101,177","58,883","16,949","15,295","274,478","170,039","22,173","34,572","235,019","122,336","61,184","59,328","68,104","64,066","20,618","115,866","119,597","180,250","124,334","38,071","105,288","14,898","42,834","50,163","22,083","175,051","19,513","304,098","155,266","18,508","210,309","56,182","65,928","212,796","18,028","75,877","16,729","108,237","493,064","93,514","8,959","149,346","129,882","23,605","109,987","9,143"
no_u6_female_employer,"98,800","15,402","108,447","64,189","581,753","75,967","46,493","15,698","6,630","383,282","198,430","24,000","30,014","160,584","112,598","47,457","42,995","84,262","95,621","16,044","90,728","78,626","135,980","67,354","60,063","96,940","17,896","25,786","53,707","14,824","130,304","42,466","304,135","193,032","10,101","176,909","88,050","51,755","180,379","12,909","98,583","14,409","133,878","630,140","43,735","6,965","128,176","115,560","26,470","69,954","10,918"
total_618_female_employer,"418,659","61,555","592,860","255,257","3,149,880","445,542","273,730","78,901","44,948","1,602,610","942,374","104,237","176,177","1,009,561","570,953","267,773","249,430","364,054","389,673","89,729","500,762","503,371","781,849","483,845","251,464","497,008","88,128","176,694","247,389","94,250","732,305","176,144","1,445,075","836,981","65,804","943,580","359,059","315,190","980,796","78,378","426,451","80,819","556,743","2,763,748","344,624","44,299","695,482","600,921","133,325","465,079","47,882"
with_618_female_employer,"199,532","31,777","313,481","110,016","1,559,697","251,186","159,624","46,529","22,145","740,872","456,892","55,022","99,885","597,635","325,854","161,617","148,035","187,829","162,848","52,606","291,867","322,474","475,950","319,338","105,148","283,238","43,428","104,422","134,035","58,628","434,214","60,660","744,714","401,943","44,195","547,396","161,377","181,515","567,274","47,978","195,360","49,465","279,241","1,301,349","235,113","25,882","388,028","335,185","72,255","301,699","28,012"
no_618_female_employer,"219,127","29,778","279,379","145,241","1,590,183","194,356","114,106","32,372","22,803","861,738","485,482","49,215","76,292","411,926","245,099","106,156","101,395","176,225","226,825","37,123","208,895","180,897","305,899","164,507","146,316","213,770","44,700","72,272","113,354","35,622","298,091","115,484","700,361","435,038","21,609","396,184","197,682","133,675","413,522","30,400","231,091","31,354","277,502","1,462,399","109,511","18,417","307,454","265,736","61,070","163,380","19,870"
total_1925_female_employer,"236,739","26,212","326,822","140,761","1,724,293","258,542","150,433","42,554","40,094","876,822","504,681","50,344","93,191","543,711","317,131","148,370","136,645","198,446","196,838","53,528","252,393","342,330","449,154","240,964","133,502","277,601","47,020","93,086","124,373","57,355","369,039","85,957","869,245","492,049","39,626","497,270","187,344","173,435","557,374","51,269","228,203","37,123","316,758","1,413,787","193,564","28,133","372,150","311,257","72,992","264,614","22,256"
with_1925_female_employer,"147,076","12,060","185,903","74,643","894,152","156,182","88,754","25,912","22,551","436,502","270,038","29,677","55,259","333,328","199,333","92,126","87,736","108,838","95,417","34,780","151,406","224,870","273,315","160,461","68,507","170,138","24,967","56,956","71,856","41,246","226,735","36,000","489,182","280,936","25,465","304,810","93,647","99,437","350,473","31,951","125,143","22,220","184,761","716,289","133,981","17,302","226,005","183,925","38,993","176,616","13,287"
no_1925_female_employer,"89,663","14,152","140,919","66,118","830,141","102,360","61,679","16,642","17,543","440,320","234,643","20,667","37,932","210,383","117,798","56,244","48,909","89,608","101,421","18,748","100,987","117,460","175,839","80,503","64,995","107,463","22,053","36,130","52,517","16,109","142,304","49,957","380,063","211,113","14,161","192,460","93,697","73,998","206,901","19,318","103,060","14,903","131,997","697,498","59,583","10,831","146,145","127,332","33,999","87,998","8,969"
total_2634_female_employer,"293,404","48,378","448,328","172,745","2,496,642","397,542","206,512","56,075","71,317","1,257,560","684,368","78,240","109,229","757,717","401,709","174,655","164,628","261,686","268,537","77,243","362,126","435,465","576,218","328,125","162,260","360,470","63,777","109,211","201,146","77,931","536,125","120,906","1,243,317","645,247","47,291","693,187","238,164","263,377","731,642","67,902","309,984","49,873","439,105","1,940,340","216,457","33,775","517,560","513,612","89,263","325,804","35,517"
with_2634_female_employer,"182,456","26,594","267,402","95,232","1,451,625","262,478","128,813","35,619","55,559","688,294","396,694","51,483","64,776","501,877","252,065","117,629","107,002","151,565","133,019","44,359","232,406","294,486","355,247","223,926","91,759","236,354","33,282","74,476","114,924","55,297","339,929","58,029","737,221","385,604","34,894","426,018","134,820","159,992","466,802","43,329","176,659","32,438","259,807","1,127,449","157,791","20,380","327,772","336,158","53,194","224,646","21,134"
no_2634_female_employer,"110,948","21,784","180,926","77,513","1,045,017","135,064","77,699","20,456","15,758","569,266","287,674","26,757","44,453","255,840","149,644","57,026","57,626","110,121","135,518","32,884","129,720","140,979","220,971","104,199","70,501","124,116","30,495","34,735","86,222","22,634","196,196","62,877","506,096","259,643","12,397","267,169","103,344","103,385","264,840","24,573","133,325","17,435","179,298","812,891","58,666","13,395","189,788","177,454","36,069","101,158","14,383"
total_3544_female_employer,"328,286","50,818","458,214","198,328","2,650,679","414,139","235,075","65,329","57,813","1,434,933","766,701","93,171","127,246","830,617","434,943","202,786","189,521","280,428","312,617","88,529","431,934","463,142","613,626","386,038","199,174","398,200","72,757","129,834","216,897","86,582","611,882","133,791","1,272,347","716,265","50,374","738,486","266,370","294,320","821,804","70,083","347,283","56,775","471,746","2,125,829","228,826","40,728","593,337","551,157","103,492","371,106","38,675"
with_3544_female_employer,"207,936","29,660","295,389","116,018","1,651,415","279,834","155,312","45,472","44,090","817,557","486,704","63,450","81,644","582,661","290,535","144,717","137,478","175,370","178,042","56,529","295,924","317,187","407,540","279,790","119,165","274,719","43,682","91,272","134,015","63,377","425,465","69,495","796,525","459,836","39,532","493,711","157,809","198,836","566,182","49,804","219,168","40,069","293,162","1,317,926","166,483","28,745","401,684","386,848","62,853","271,822","26,063"
no_3544_female_employer,"120,350","21,158","162,825","82,310","999,264","134,305","79,763","19,857","13,723","617,376","279,997","29,721","45,602","247,956","144,408","58,069","52,043","105,058","134,575","32,000","136,010","145,955","206,086","106,248","80,009","123,481","29,075","38,562","82,882","23,205","186,417","64,296","475,822","256,429","10,842","244,775","108,561","95,484","255,622","20,279","128,115","16,706","178,584","807,903","62,343","11,983","191,653","164,309","40,639","99,284","12,612"
total_4554_female_employer,"317,413","37,980","430,319","180,621","2,406,955","346,031","225,325","60,302","35,876","1,389,851","720,237","83,265","109,001","773,609","404,996","177,810","158,642","276,466","267,639","84,672","390,875","429,973","598,912","323,356","184,021","361,056","61,263","107,855","197,840","84,064","602,910","119,479","1,204,358","688,932","36,122","700,016","227,062","257,480","758,947","65,092","328,071","47,589","440,559","1,875,116","188,430","37,605","533,747","455,648","109,981","336,864","28,107"
with_4554_female_employer,"209,979","24,137","278,671","114,059","1,494,911","239,629","158,604","44,784","25,780","833,807","481,069","59,992","76,933","547,502","285,353","132,738","115,784","180,343","164,388","56,661","281,190","309,364","421,477","243,706","120,389","258,770","38,306","79,928","130,431","63,979","420,713","64,469","767,313","448,558","25,689","496,786","143,535","171,478","545,970","44,491","213,484","33,834","295,133","1,185,093","134,204","26,145","367,436","322,001","74,982","251,301","20,257"
no_4554_female_employer,"107,434","13,843","151,648","66,562","912,044","106,402","66,721","15,518","10,096","556,044","239,168","23,273","32,068","226,107","119,643","45,072","42,858","96,123","103,251","28,011","109,685","120,609","177,435","79,650","63,632","102,286","22,957","27,927","67,409","20,085","182,197","55,010","437,045","240,374","10,433","203,230","83,527","86,002","212,977","20,601","114,587","13,755","145,426","690,023","54,226","11,460","166,311","133,647","34,999","85,563","7,850"
total_5564_female_employer,"338,031","41,664","449,794","190,700","2,352,686","339,993","260,006","75,183","32,177","1,558,172","688,693","88,246","114,212","803,588","425,196","200,367","175,715","297,463","294,619","106,777","425,935","483,428","677,644","361,178","189,906","403,137","71,945","114,143","196,267","110,052","634,729","132,751","1,331,693","707,324","43,309","771,956","237,138","256,380","879,088","77,036","369,607","56,427","463,531","1,692,150","154,725","47,633","563,485","461,314","120,168","402,049","37,183"
with_5564_female_employer,"200,098","26,301","265,733","98,426","1,347,135","206,249","171,521","47,683","17,582","827,294","411,507","59,562","67,091","533,301","268,713","132,345","113,856","169,423","161,843","63,158","287,624","327,477","428,888","244,940","103,982","250,666","38,005","76,465","116,946","75,373","430,269","66,996","820,712","430,543","29,188","492,994","134,149","146,863","561,442","48,657","213,453","35,653","277,748","967,681","101,909","30,707","354,247","292,411","64,044","267,494","21,083"
no_5564_female_employer,"137,933","15,363","184,061","92,274","1,005,551","133,744","88,485","27,500","14,595","730,878","277,186","28,684","47,121","270,287","156,483","68,022","61,859","128,040","132,776","43,619","138,311","155,951","248,756","116,238","85,924","152,471","33,940","37,678","79,321","34,679","204,460","65,755","510,981","276,781","14,121","278,962","102,989","109,517","317,646","28,379","156,154","20,774","185,783","724,469","52,816","16,926","209,238","168,903","56,124","134,555","16,100"
total_6574_female_employer,"293,046","32,603","428,257","169,699","1,922,488","298,048","207,892","70,315","28,302","1,420,448","552,771","85,408","105,160","675,373","367,549","172,901","156,361","254,113","255,915","97,749","335,884","397,255","602,600","306,962","164,302","351,047","71,966","103,532","172,959","88,948","503,669","130,571","1,097,661","611,427","37,804","685,700","208,022","257,804","784,655","64,915","331,194","51,540","397,241","1,342,068","130,038","43,627","466,773","417,075","115,910","346,486","34,544"
with_6574_female_employer,"92,822","16,247","106,822","38,106","585,488","74,718","70,112","29,061","13,584","317,514","165,639","45,729","20,069","206,160","94,155","35,736","36,025","80,143","77,217","26,279","168,203","151,855","240,126","77,102","33,908","87,673","16,376","22,802","47,928","29,945","192,854","40,113","429,292","174,859","10,107","202,505","58,248","62,699","234,131","16,677","97,505","9,963","99,618","365,067","32,704","14,433","156,154","128,222","42,666","74,332","9,076"
no_6574_female_employer,"200,224","16,356","321,435","131,593","1,337,000","223,330","137,780","41,254","14,718","1,102,934","387,132","39,679","85,091","469,213","273,394","137,165","120,336","173,970","178,698","71,470","167,681","245,400","362,474","229,860","130,394","263,374","55,590","80,730","125,031","59,003","310,815","90,458","668,369","436,568","27,697","483,195","149,774","195,105","550,524","48,238","233,689","41,577","297,623","977,001","97,334","29,194","310,619","288,853","73,244","272,154","25,468"
total_o75_female_employer,"208,861","18,776","333,564","123,172","1,476,632","197,083","160,696","47,351","22,223","1,202,756","376,522","75,967","68,745","505,381","257,770","130,612","111,584","173,001","173,786","67,905","246,886","298,686","421,459","217,315","113,524","251,777","45,820","73,327","117,663","60,305","392,523","95,571","871,641","429,606","28,209","489,662","150,190","181,135","597,050","48,128","228,438","33,425","275,769","903,781","86,429","30,822","340,122","291,229","82,249","241,468","21,502"
with_o75_female_employer,"59,734","9,349","77,046","22,832","393,169","50,890","45,816","17,702","11,527","238,849","105,884","37,528","13,123","135,153","59,083","22,889","20,692","48,735","48,757","15,974","105,749","96,926","176,681","46,467","19,611","54,173","9,338","12,488","24,503","18,393","121,980","29,369","298,130","121,748","5,722","140,060","38,742","39,857","157,270","12,875","64,764","3,698","59,641","224,759","21,317","9,538","102,363","73,638","31,495","43,985","3,914"
no_o75_female_employer,"149,127","9,427","256,518","100,340","1,083,463","146,193","114,880","29,649","10,696","963,907","270,638","38,439","55,622","370,228","198,687","107,723","90,892","124,266","125,029","51,931","141,137","201,760","244,778","170,848","93,913","197,604","36,482","60,839","93,160","41,912","270,543","66,202","573,511","307,858","22,487","349,602","111,448","141,278","439,780","35,253","163,674","29,727","216,128","679,022","65,112","21,284","237,759","217,591","50,754","197,483","17,588"
total_u6_male_medicare,"176,722","29,639","241,846","108,462","1,286,384","191,008","112,528","32,173","24,232","699,028","383,463","45,573","71,152","408,833","250,193","112,518","102,284","165,298","173,765","35,750","213,584","212,930","321,735","197,706","101,050","217,909","34,102","75,296","105,042","37,658","320,351","63,687","634,825","370,074","28,087","402,597","147,192","124,607","412,504","35,561","170,469","35,724","257,414","1,166,218","143,128","17,018","292,510","259,096","53,260","193,214","17,529"
with_u6_male_medicare,978,54,681,"2,141","9,140","1,332",246,131,60,"5,077","2,216",86,31,"1,394",998,494,559,659,704,47,"2,573",506,"1,713",688,841,"1,106",67,319,327,69,628,495,"6,481","3,545",21,"2,113","1,155",649,"2,085",112,594,29,"1,773","7,919",418,0,"1,341","1,181",331,699,0
no_u6_male_medicare,"175,744","29,585","241,165","106,321","1,277,244","189,676","112,282","32,042","24,172","693,951","381,247","45,487","71,121","407,439","249,195","112,024","101,725","164,639","173,061","35,703","211,011","212,424","320,022","197,018","100,209","216,803","34,035","74,977","104,715","37,589","319,723","63,192","628,344","366,529","28,066","400,484","146,037","123,958","410,419","35,449","169,875","35,695","255,641","1,158,299","142,710","17,018","291,169","257,915","52,929","192,515","17,529"
total_618_male_medicare,"428,525","67,498","618,592","272,942","3,301,152","468,090","282,674","82,819","43,091","1,688,286","989,319","113,854","185,329","1,052,282","618,618","278,350","272,117","381,860","403,635","99,015","516,279","521,880","821,905","496,580","268,040","528,035","92,640","183,111","266,015","100,259","767,427","176,300","1,515,040","906,914","67,950","998,284","376,547","319,538","1,021,049","75,909","442,924","85,312","588,760","2,896,238","364,400","46,754","731,612","636,305","139,281","486,932","51,089"
with_618_male_medicare,"4,555",103,"4,002","1,979","25,968","1,481","2,048",803,380,"10,605","8,724",654,"1,293","5,094","4,304","1,903","1,665","3,121","1,957","1,602","6,856","3,593","4,686","1,257","2,847","2,981",217,743,"1,393","1,010","4,930","1,456","11,252","9,879",14,"5,138","3,212","1,094","5,983",747,"3,398",520,"4,575","20,854",741,156,"5,896","4,875",583,"1,429",493
no_618_male_medicare,"423,970","67,395","614,590","270,963","3,275,184","466,609","280,626","82,016","42,711","1,677,681","980,595","113,200","184,036","1,047,188","614,314","276,447","270,452","378,739","401,678","97,413","509,423","518,287","817,219","495,323","265,193","525,054","92,423","182,368","264,622","99,249","762,497","174,844","1,503,788","897,035","67,936","993,146","373,335","318,444","1,015,066","75,162","439,526","84,792","584,185","2,875,384","363,659","46,598","725,716","631,430","138,698","485,503","50,596"
total_1925_male_medicare,"232,787","27,293","348,495","138,570","1,752,920","264,241","163,223","40,739","32,012","887,181","496,895","46,708","89,565","556,877","328,101","161,759","146,618","203,087","189,204","56,037","251,912","330,355","456,164","254,253","136,152","275,075","51,191","96,903","127,627","58,683","382,893","95,170","850,680","477,035","39,794","516,409","194,089","180,389","570,825","50,378","221,632","42,000","315,984","1,449,605","196,704","31,480","362,976","325,409","80,109","271,790","24,716"
with_1925_male_medicare,"2,537",157,"2,052","1,738","17,615","2,241","2,351",0,540,"9,236","5,459",769,829,"3,632","2,568","1,192","1,652","1,609","2,320","1,061","4,845","4,394","4,346","1,444","1,982","4,208",163,746,"1,298",590,"4,195","1,516","8,019","4,520",281,"4,900","2,482","1,143","4,259","1,583","1,878",385,"2,521","12,962",373,492,"3,857","3,221",984,"2,070",34
no_1925_male_medicare,"230,250","27,136","346,443","136,832","1,735,305","262,000","160,872","40,739","31,472","877,945","491,436","45,939","88,736","553,245","325,533","160,567","144,966","201,478","186,884","54,976","247,067","325,961","451,818","252,809","134,170","270,867","51,028","96,157","126,329","58,093","378,698","93,654","842,661","472,515","39,513","511,509","191,607","179,246","566,566","48,795","219,754","41,615","313,463","1,436,643","196,331","30,988","359,119","322,188","79,125","269,720","24,682"
total_2634_male_medicare,"268,163","46,511","457,273","171,475","2,539,193","419,094","202,578","54,644","59,103","1,226,743","640,094","74,283","115,313","749,340","394,536","179,923","162,926","259,047","247,173","74,390","337,227","434,347","594,509","332,588","137,976","354,684","65,098","113,493","201,807","81,372","528,345","120,734","1,208,679","605,177","52,682","685,312","230,326","268,445","736,793","68,303","281,527","50,317","423,370","1,906,911","230,508","34,287","482,664","526,974","89,285","335,465","33,365"
with_2634_male_medicare,"4,241",516,"5,255","3,189","26,073","3,111","1,653",455,126,"17,970","8,295","1,068","1,540","8,600","6,293","2,383","2,147","2,763","5,100","1,769","6,660","5,766","6,594","3,712","2,548","4,131",975,"1,307","2,222",962,"5,737","3,223","18,530","11,451",772,"10,378","3,513","3,700","13,552","1,085","3,492",602,"4,960","16,811","1,473",659,"5,307","5,823","2,430","4,311",157
no_2634_male_medicare,"263,922","45,995","452,018","168,286","2,513,120","415,983","200,925","54,189","58,977","1,208,773","631,799","73,215","113,773","740,740","388,243","177,540","160,779","256,284","242,073","72,621","330,567","428,581","587,915","328,876","135,428","350,553","64,123","112,186","199,585","80,410","522,608","117,511","1,190,149","593,726","51,910","674,934","226,813","264,745","723,241","67,218","278,035","49,715","418,410","1,890,100","229,035","33,628","477,357","521,151","86,855","331,154","33,208"
total_3544_male_medicare,"305,391","52,779","459,200","191,081","2,726,704","439,987","226,719","60,797","54,496","1,405,416","684,732","88,531","126,853","822,741","427,783","202,754","186,201","272,501","287,804","85,629","400,084","455,585","600,912","391,949","177,269","389,003","75,485","128,389","220,879","91,221","613,563","133,778","1,255,776","655,571","52,942","718,735","254,453","299,017","812,315","71,027","326,159","58,793","446,714","2,123,764","235,508","40,352","563,020","568,766","102,229","369,911","41,244"
