variable,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
total_u6_female_private,"175,216","24,590","231,330","106,566","1,221,474","177,144","105,376","32,647","21,925","657,760","368,469","46,173","64,586","395,603","234,934","108,641","102,323","152,366","159,687","36,662","206,594","198,223","316,230","191,688","98,134","202,228","32,794","68,620","103,870","36,907","305,355","61,979","608,233","348,298","28,609","387,218","144,232","117,683","393,175","30,937","174,460","31,138","242,115","1,123,204","137,249","15,924","277,522","245,442","50,075","179,941","20,061"
with_u6_female_private,"89,671","13,215","139,224","49,575","743,886","115,180","64,120","18,369","16,615","348,323","198,010","30,358","39,080","252,455","134,337","66,128","68,480","78,994","72,887","23,304","132,597","129,159","195,413","132,603","47,309","118,020","18,596","48,675","59,208","24,860","189,374","24,887","352,443","191,888","21,398","226,003","66,053","71,843","230,382","20,342","90,785","19,774","130,409","579,885","109,355","9,830","182,979","148,039","26,570","117,802","11,031"
no_u6_female_private,"85,545","11,375","92,106","56,991","477,588","61,964","41,256","14,278","5,310","309,437","170,459","15,815","25,506","143,148","100,597","42,513","33,843","73,372","86,800","13,358","73,997","69,064","120,817","59,085","50,825","84,208","14,198","19,945","44,662","12,047","115,981","37,092","255,790","156,410","7,211","161,215","78,179","45,840","162,793","10,595","83,675","11,364","111,706","543,319","27,894","6,094","94,543","97,403","23,505","62,139","9,030"
total_618_female_private,"418,659","61,555","592,860","255,257","3,149,880","445,542","273,730","78,901","44,948","1,602,610","942,374","104,237","176,177","1,009,561","570,953","267,773","249,430","364,054","389,673","89,729","500,762","503,371","781,849","483,845","251,464","497,008","88,128","176,694","247,389","94,250","732,305","176,144","1,445,075","836,981","65,804","943,580","359,059","315,190","980,796","78,378","426,451","80,819","556,743","2,763,748","344,624","44,299","695,482","600,921","133,325","465,079","47,882"
with_618_female_private,"234,223","38,003","364,999","129,437","1,822,531","293,174","177,530","50,442","26,582","960,520","544,817","71,206","117,820","663,113","360,929","177,215","169,833","208,327","191,887","59,934","334,397","353,212","520,795","349,721","130,696","320,164","52,159","123,196","152,910","66,555","485,113","72,570","879,984","492,441","51,924","600,718","191,492","200,305","635,425","54,525","244,113","57,241","330,034","1,550,850","277,837","28,646","476,535","384,927","79,223","327,510","32,578"
no_618_female_private,"184,436","23,552","227,861","125,820","1,327,349","152,368","96,200","28,459","18,366","642,090","397,557","33,031","58,357","346,448","210,024","90,558","79,597","155,727","197,786","29,795","166,365","150,159","261,054","134,124","120,768","176,844","35,969","53,498","94,479","27,695","247,192","103,574","565,091","344,540","13,880","342,862","167,567","114,885","345,371","23,853","182,338","23,578","226,709","1,212,898","66,787","15,653","218,947","215,994","54,102","137,569","15,304"
total_1925_female_private,"236,739","26,212","326,822","140,761","1,724,293","258,542","150,433","42,554","40,094","876,822","504,681","50,344","93,191","543,711","317,131","148,370","136,645","198,446","196,838","53,528","252,393","342,330","449,154","240,964","133,502","277,601","47,020","93,086","124,373","57,355","369,039","85,957","869,245","492,049","39,626","497,270","187,344","173,435","557,374","51,269","228,203","37,123","316,758","1,413,787","193,564","28,133","372,150","311,257","72,992","264,614","22,256"
with_1925_female_private,"174,875","15,663","215,002","92,374","1,095,636","190,613","108,389","30,769","29,744","607,319","349,684","39,517","67,526","385,659","229,436","107,873","106,249","124,666","113,286","40,464","181,531","269,414","318,305","185,901","86,236","200,810","31,827","71,756","82,595","48,407","262,452","44,268","608,701","349,363","32,213","349,111","112,699","117,585","409,750","39,115","157,815","27,788","225,878","885,889","160,820","20,948","274,965","220,171","46,299","204,221","17,237"
no_1925_female_private,"61,864","10,549","111,820","48,387","628,657","67,929","42,044","11,785","10,350","269,503","154,997","10,827","25,665","158,052","87,695","40,497","30,396","73,780","83,552","13,064","70,862","72,916","130,849","55,063","47,266","76,791","15,193","21,330","41,778","8,948","106,587","41,689","260,544","142,686","7,413","148,159","74,645","55,850","147,624","12,154","70,388","9,335","90,880","527,898","32,744","7,185","97,185","91,086","26,693","60,393","5,019"
total_2634_female_private,"293,404","48,378","448,328","172,745","2,496,642","397,542","206,512","56,075","71,317","1,257,560","684,368","78,240","109,229","757,717","401,709","174,655","164,628","261,686","268,537","77,243","362,126","435,465","576,218","328,125","162,260","360,470","63,777","109,211","201,146","77,931","536,125","120,906","1,243,317","645,247","47,291","693,187","238,164","263,377","731,642","67,902","309,984","49,873","439,105","1,940,340","216,457","33,775","517,560","513,612","89,263","325,804","35,517"
with_2634_female_private,"214,125","33,136","299,050","109,727","1,667,277","301,469","140,718","37,912","59,682","883,053","475,474","60,916","73,630","549,968","276,607","127,824","123,667","167,140","153,320","51,376","263,172","329,973","390,895","243,750","110,534","262,363","41,111","84,515","131,207","60,688","382,347","66,463","837,603","459,846","40,247","462,007","154,646","177,671","516,782","48,767","212,738","39,112","307,931","1,314,719","180,717","22,806","380,053","375,585","57,348","243,274","25,197"
no_2634_female_private,"79,279","15,242","149,278","63,018","829,365","96,073","65,794","18,163","11,635","374,507","208,894","17,324","35,599","207,749","125,102","46,831","40,961","94,546","115,217","25,867","98,954","105,492","185,323","84,375","51,726","98,107","22,666","24,696","69,939","17,243","153,778","54,443","405,714","185,401","7,044","231,180","83,518","85,706","214,860","19,135","97,246","10,761","131,174","625,621","35,740","10,969","137,507","138,027","31,915","82,530","10,320"
total_3544_female_private,"328,286","50,818","458,214","198,328","2,650,679","414,139","235,075","65,329","57,813","1,434,933","766,701","93,171","127,246","830,617","434,943","202,786","189,521","280,428","312,617","88,529","431,934","463,142","613,626","386,038","199,174","398,200","72,757","129,834","216,897","86,582","611,882","133,791","1,272,347","716,265","50,374","738,486","266,370","294,320","821,804","70,083","347,283","56,775","471,746","2,125,829","228,826","40,728","593,337","551,157","103,492","371,106","38,675"
with_3544_female_private,"245,883","35,914","328,663","133,447","1,874,512","321,405","168,932","47,969","47,074","1,048,164","576,903","75,789","95,870","630,888","318,565","156,820","154,819","191,259","200,130","64,435","330,933","348,907","444,639","301,629","141,153","304,619","51,291","104,161","151,450","69,385","462,309","78,234","887,343","548,260","44,769","533,580","182,400","219,779","625,111","55,479","257,410","45,990","338,150","1,532,084","191,275","31,318","463,407","424,610","67,650","293,138","31,366"
no_3544_female_private,"82,403","14,904","129,551","64,881","776,167","92,734","66,143","17,360","10,739","386,769","189,798","17,382","31,376","199,729","116,378","45,966","34,702","89,169","112,487","24,094","101,001","114,235","168,987","84,409","58,021","93,581","21,466","25,673","65,447","17,197","149,573","55,557","385,004","168,005","5,605","204,906","83,970","74,541","196,693","14,604","89,873","10,785","133,596","593,745","37,551","9,410","129,930","126,547","35,842","77,968","7,309"
total_4554_female_private,"317,413","37,980","430,319","180,621","2,406,955","346,031","225,325","60,302","35,876","1,389,851","720,237","83,265","109,001","773,609","404,996","177,810","158,642","276,466","267,639","84,672","390,875","429,973","598,912","323,356","184,021","361,056","61,263","107,855","197,840","84,064","602,910","119,479","1,204,358","688,932","36,122","700,016","227,062","257,480","758,947","65,092","328,071","47,589","440,559","1,875,116","188,430","37,605","533,747","455,648","109,981","336,864","28,107"
with_4554_female_private,"246,811","28,011","313,082","131,254","1,736,343","276,742","174,341","48,432","28,328","1,096,453","572,389","68,487","88,908","602,558","313,366","145,421","132,174","197,056","187,506","65,988","318,036","339,668","465,115","265,859","142,926","289,535","45,436","90,790","149,421","72,314","469,047","73,997","866,767","543,526","29,624","541,816","167,602","196,581","602,379","50,277","257,873","40,265","339,644","1,409,782","158,475","29,752","431,321","363,507","80,095","279,846","23,883"
no_4554_female_private,"70,602","9,969","117,237","49,367","670,612","69,289","50,984","11,870","7,548","293,398","147,848","14,778","20,093","171,051","91,630","32,389","26,468","79,410","80,133","18,684","72,839","90,305","133,797","57,497","41,095","71,521","15,827","17,065","48,419","11,750","133,863","45,482","337,591","145,406","6,498","158,200","59,460","60,899","156,568","14,815","70,198","7,324","100,915","465,334","29,955","7,853","102,426","92,141","29,886","57,018","4,224"
total_5564_female_private,"338,031","41,664","449,794","190,700","2,352,686","339,993","260,006","75,183","32,177","1,558,172","688,693","88,246","114,212","803,588","425,196","200,367","175,715","297,463","294,619","106,777","425,935","483,428","677,644","361,178","189,906","403,137","71,945","114,143","196,267","110,052","634,729","132,751","1,331,693","707,324","43,309","771,956","237,138","256,380","879,088","77,036","369,607","56,427","463,531","1,692,150","154,725","47,633","563,485","461,314","120,168","402,049","37,183"
with_5564_female_private,"252,140","31,339","333,095","128,201","1,670,287","265,747","204,345","56,515","20,235","1,210,834","522,988","70,633","86,983","621,279","315,797","159,950","142,847","199,202","196,848","81,381","339,975","379,022","513,053","294,907","136,215","306,579","52,173","94,089","143,231","92,238","500,891","83,792","953,239","551,625","37,344","581,804","167,995","188,663","680,665","58,696","290,539","46,053","353,768","1,246,326","129,925","37,513","443,504","355,201","76,845","327,818","28,750"
no_5564_female_private,"85,891","10,325","116,699","62,499","682,399","74,246","55,661","18,668","11,942","347,338","165,705","17,613","27,229","182,309","109,399","40,417","32,868","98,261","97,771","25,396","85,960","104,406","164,591","66,271","53,691","96,558","19,772","20,054","53,036","17,814","133,838","48,959","378,454","155,699","5,965","190,152","69,143","67,717","198,423","18,340","79,068","10,374","109,763","445,824","24,800","10,120","119,981","106,113","43,323","74,231","8,433"
total_6574_female_private,"293,046","32,603","428,257","169,699","1,922,488","298,048","207,892","70,315","28,302","1,420,448","552,771","85,408","105,160","675,373","367,549","172,901","156,361","254,113","255,915","97,749","335,884","397,255","602,600","306,962","164,302","351,047","71,966","103,532","172,959","88,948","503,669","130,571","1,097,661","611,427","37,804","685,700","208,022","257,804","784,655","64,915","331,194","51,540","397,241","1,342,068","130,038","43,627","466,773","417,075","115,910","346,486","34,544"
with_6574_female_private,"160,158","19,316","202,935","81,516","886,018","139,540","105,982","43,218","16,839","631,228","275,042","57,814","53,212","354,862","190,590","99,737","86,935","136,122","123,924","49,370","227,469","236,491","363,938","193,265","81,647","170,713","40,081","56,924","79,783","51,510","275,317","66,356","585,615","320,445","25,369","353,106","114,070","130,067","443,986","32,024","179,062","29,946","194,783","618,934","62,936","26,376","275,025","235,639","64,481","181,335","20,206"
no_6574_female_private,"132,888","13,287","225,322","88,183","1,036,470","158,508","101,910","27,097","11,463","789,220","277,729","27,594","51,948","320,511","176,959","73,164","69,426","117,991","131,991","48,379","108,415","160,764","238,662","113,697","82,655","180,334","31,885","46,608","93,176","37,438","228,352","64,215","512,046","290,982","12,435","332,594","93,952","127,737","340,669","32,891","152,132","21,594","202,458","723,134","67,102","17,251","191,748","181,436","51,429","165,151","14,338"
